epsilon-greedy,ucb1,ucb2,softmax,annealing-softmax,thompson
0.8846153846153846,0.5384615384615384,0.9230769230769231,0.7307692307692307,0.5384615384615384,0.6923076923076923
0.8888888888888888,0.5185185185185185,0.9259259259259259,0.7407407407407407,0.5555555555555556,0.7037037037037037
0.8571428571428571,0.5357142857142857,0.9285714285714286,0.7142857142857143,0.5357142857142857,0.7142857142857143
0.8620689655172413,0.5517241379310345,0.9310344827586207,0.7241379310344828,0.5517241379310345,0.7241379310344828
0.8666666666666667,0.5666666666666667,0.9333333333333333,0.7,0.5666666666666667,0.7333333333333333
0.8709677419354839,0.5806451612903226,0.9354838709677419,0.7096774193548387,0.5483870967741935,0.7419354838709677
0.875,0.59375,0.9375,0.71875,0.53125,0.75
0.8787878787878788,0.6060606060606061,0.9393939393939394,0.696969696969697,0.5454545454545454,0.7575757575757576
0.8823529411764706,0.6176470588235294,0.9411764705882353,0.7058823529411765,0.5294117647058824,0.7647058823529411
0.8857142857142857,0.6285714285714286,0.9428571428571428,0.7142857142857143,0.5428571428571428,0.7714285714285715
0.8888888888888888,0.6388888888888888,0.9444444444444444,0.6944444444444444,0.5555555555555556,0.7777777777777778
0.8918918918918919,0.6486486486486487,0.9459459459459459,0.7027027027027027,0.5675675675675675,0.7567567567567568
0.8947368421052632,0.631578947368421,0.9473684210526315,0.7105263157894737,0.5789473684210527,0.7631578947368421
0.8974358974358975,0.6410256410256411,0.9487179487179487,0.717948717948718,0.5897435897435898,0.7435897435897436
0.9,0.65,0.95,0.725,0.575,0.75
0.9024390243902439,0.6585365853658537,0.9512195121951219,0.7317073170731707,0.5853658536585366,0.7560975609756098
0.9047619047619048,0.6428571428571429,0.9523809523809523,0.7142857142857143,0.5714285714285714,0.7619047619047619
0.8837209302325582,0.6511627906976745,0.9534883720930233,0.7209302325581395,0.5813953488372093,0.7674418604651163
0.8863636363636364,0.6590909090909091,0.9545454545454546,0.7045454545454546,0.5681818181818182,0.75
0.8888888888888888,0.6444444444444445,0.9555555555555556,0.7111111111111111,0.5555555555555556,0.7555555555555555
0.8913043478260869,0.6304347826086957,0.9565217391304348,0.717391304347826,0.5434782608695652,0.7608695652173914
0.8723404255319149,0.6170212765957447,0.9574468085106383,0.723404255319149,0.5319148936170213,0.7659574468085106
0.875,0.625,0.9583333333333334,0.7291666666666666,0.5416666666666666,0.7708333333333334
0.8775510204081632,0.6326530612244898,0.9591836734693877,0.7346938775510204,0.5510204081632653,0.7755102040816326
0.88,0.64,0.96,0.74,0.54,0.78
0.8823529411764706,0.6470588235294118,0.9607843137254902,0.7450980392156863,0.5294117647058824,0.7843137254901961
