epsilon-greedy,ucb1,ucb2,softmax,annealing-softmax,thompson
0.9459459459459459,0.7297297297297297,0.9459459459459459,0.918918918918919,0.4594594594594595,0.8648648648648649
0.9473684210526315,0.7105263157894737,0.9473684210526315,0.9210526315789473,0.47368421052631576,0.868421052631579
0.9487179487179487,0.6923076923076923,0.9487179487179487,0.9230769230769231,0.46153846153846156,0.8461538461538461
0.95,0.675,0.95,0.925,0.45,0.85
0.9512195121951219,0.6585365853658537,0.9512195121951219,0.926829268292683,0.43902439024390244,0.8536585365853658
0.9523809523809523,0.6428571428571429,0.9523809523809523,0.9285714285714286,0.4523809523809524,0.8571428571428571
0.9534883720930233,0.627906976744186,0.9534883720930233,0.9302325581395349,0.4418604651162791,0.8604651162790697
0.9545454545454546,0.6136363636363636,0.9545454545454546,0.9318181818181818,0.4318181818181818,0.8636363636363636
0.9555555555555556,0.6,0.9555555555555556,0.9333333333333333,0.4222222222222222,0.8666666666666667
0.9565217391304348,0.6086956521739131,0.9565217391304348,0.9347826086956522,0.43478260869565216,0.8695652173913043
0.9574468085106383,0.5957446808510638,0.9574468085106383,0.9361702127659575,0.44680851063829785,0.8723404255319149
0.9583333333333334,0.6041666666666666,0.9583333333333334,0.9375,0.4375,0.875
0.9591836734693877,0.6122448979591837,0.9591836734693877,0.9387755102040817,0.4489795918367347,0.8775510204081632
0.96,0.62,0.96,0.94,0.44,0.88
0.9607843137254902,0.6274509803921569,0.9607843137254902,0.9411764705882353,0.45098039215686275,0.8823529411764706
0.9615384615384616,0.6346153846153846,0.9615384615384616,0.9423076923076923,0.46153846153846156,0.8846153846153846
0.9622641509433962,0.6226415094339622,0.9622641509433962,0.9433962264150944,0.4528301886792453,0.8867924528301887
0.9629629629629629,0.6296296296296297,0.9629629629629629,0.9444444444444444,0.4444444444444444,0.8888888888888888
0.9636363636363636,0.6363636363636364,0.9636363636363636,0.9454545454545454,0.43636363636363634,0.8909090909090909
0.9642857142857143,0.625,0.9642857142857143,0.9464285714285714,0.42857142857142855,0.8928571428571429
0.9473684210526315,0.631578947368421,0.9649122807017544,0.9473684210526315,0.43859649122807015,0.8947368421052632
0.9482758620689655,0.6206896551724138,0.9655172413793104,0.9482758620689655,0.43103448275862066,0.896551724137931
0.9491525423728814,0.6271186440677966,0.9661016949152542,0.9491525423728814,0.4406779661016949,0.8983050847457628
0.95,0.6333333333333333,0.9666666666666667,0.95,0.45,0.9
0.9508196721311475,0.639344262295082,0.9672131147540983,0.9508196721311475,0.4426229508196721,0.9016393442622951
0.9516129032258065,0.6451612903225806,0.967741935483871,0.9516129032258065,0.43548387096774194,0.9032258064516129
0.9523809523809523,0.6349206349206349,0.9682539682539683,0.9523809523809523,0.4444444444444444,0.9047619047619048
0.953125,0.625,0.96875,0.953125,0.4375,0.90625
0.9538461538461539,0.6307692307692307,0.9692307692307692,0.9538461538461539,0.4307692307692308,0.9076923076923077
0.9393939393939394,0.6363636363636364,0.9696969696969697,0.9545454545454546,0.4393939393939394,0.9090909090909091
0.9402985074626866,0.6417910447761194,0.9701492537313433,0.9552238805970149,0.43283582089552236,0.9104477611940298
0.9411764705882353,0.6470588235294118,0.9705882352941176,0.9558823529411765,0.4264705882352941,0.9117647058823529
